id,name,ingredients,steps,image
1,Aloo Paratha,"potato, wheat flour, onion, spice","Step 1: Boil potatoes until soft and peel them. Step 2: Mash potatoes and mix with chopped onions, green chili, coriander, and spices. Step 3: Knead wheat flour into a smooth dough with water and a little oil, rest for 20 minutes. Step 4: Divide dough into small balls. Step 5: Roll out a dough ball, place potato filling inside. Step 6: Seal edges and gently flatten. Step 7: Roll into a round paratha without tearing. Step 8: Heat a tawa, cook paratha on one side until bubbles appear. Step 9: Flip, apply ghee or oil, and cook until golden. Step 10: Serve hot with curd, pickle, or butter.","aloo_paratha.jpg"
2,Paneer Butter Masala,"paneer, tomato, cream, butter, spice","Step 1: Heat butter in a pan and sauté onions until golden. Step 2: Add ginger-garlic paste and cook for 1 minute. Step 3: Add chopped tomatoes and cook until soft. Step 4: Blend onion-tomato mix into smooth paste. Step 5: Heat butter again, add spices like cumin, garam masala, and chili powder. Step 6: Pour in the paste and cook until oil separates. Step 7: Add cream and adjust salt. Step 8: Add paneer cubes and simmer for 5 minutes. Step 9: Garnish with coriander and butter. Step 10: Serve with naan or rice.","paneer_butter_masala.jpg"
3,Chole Bhature,"chickpeas, wheat flour, onion, tomato, spice","Step 1: Soak chickpeas overnight. Step 2: Pressure cook chickpeas with salt until soft. Step 3: Heat oil, add onions, ginger-garlic paste, and sauté. Step 4: Add tomatoes and spices, cook until masala thickens. Step 5: Add boiled chickpeas, simmer for 15 minutes. Step 6: Knead wheat flour with curd, oil, and salt to make dough. Step 7: Rest dough for 1 hour. Step 8: Divide into balls and roll out bhature. Step 9: Deep fry until puffed and golden. Step 10: Serve hot with chole, onion slices, and pickle.","chole_bhature.jpg"
4,Masala Dosa,"rice, urad dal, potato, onion, spice","Step 1: Soak rice and urad dal separately overnight. Step 2: Grind both into smooth batter, ferment 8 hours. Step 3: Heat oil, sauté onions, green chili, and curry leaves. Step 4: Add boiled potatoes, turmeric, and spices to make masala. Step 5: Heat tawa, spread dosa batter thinly. Step 6: Drizzle oil and cook until crisp. Step 7: Place potato masala inside dosa. Step 8: Fold and serve with coconut chutney and sambar.","masala_dosa.jpg"
5,Samosa,"potato, peas, flour, spice","Step 1: Knead flour with oil and salt to form stiff dough. Step 2: Rest dough for 30 minutes. Step 3: Boil potatoes and peas, mash together. Step 4: Heat oil, sauté cumin, ginger, green chili, and spices. Step 5: Add potato-pea mix, cook for 5 minutes. Step 6: Roll dough into circles, cut in half. Step 7: Make cone shape, stuff filling inside. Step 8: Seal edges with water. Step 9: Heat oil and deep fry samosas on low flame until golden. Step 10: Serve with chutney.","samosa.jpg"
6,Vada Pav,"potato, gram flour, pav, chutney","Step 1: Boil potatoes and mash. Step 2: Add ginger, garlic, green chili, and spices. Step 3: Make small balls of potato mixture. Step 4: Prepare gram flour batter with water, salt, and turmeric. Step 5: Dip potato balls in batter. Step 6: Deep fry until golden. Step 7: Slice pav bread, spread green chutney. Step 8: Place vada inside pav. Step 9: Serve with fried green chili.","vada_pav.jpg"
7,Pav Bhaji,"mixed vegetables, butter, pav, spice","Step 1: Boil potatoes, peas, carrots, and beans. Step 2: Mash vegetables coarsely. Step 3: Heat butter in a pan, sauté onions until golden. Step 4: Add capsicum, tomatoes, and cook till soft. Step 5: Add pav bhaji masala and salt. Step 6: Mix boiled vegetables, mash further while cooking. Step 7: Add butter and coriander. Step 8: Toast pav with butter. Step 9: Serve bhaji with buttered pav, onions, and lemon.","pav_bhaji.jpg"
8,Biryani,"rice, chicken/vegetables, spice, curd","Step 1: Wash and soak basmati rice for 30 minutes. Step 2: Cook rice 70% with whole spices, drain. Step 3: Marinate chicken/vegetables with curd, ginger-garlic, and spices. Step 4: Heat oil, fry onions until golden. Step 5: Cook marinated chicken/vegetables until tender. Step 6: Layer rice and cooked mixture in a pot. Step 7: Add fried onions, saffron milk, and ghee. Step 8: Cover tightly and dum cook for 20 minutes. Step 9: Serve hot with raita.","biryani.jpg"
9,Idli Sambar,"rice, urad dal, tamarind, vegetables","Step 1: Soak rice and urad dal separately. Step 2: Grind into smooth batter. Step 3: Ferment overnight. Step 4: Grease idli moulds and steam batter for 10 minutes. Step 5: For sambar, boil dal until soft. Step 6: Heat oil, add mustard seeds, curry leaves, and onions. Step 7: Add tomatoes, tamarind water, and spices. Step 8: Add boiled dal and vegetables. Step 9: Simmer until flavors combine. Step 10: Serve idlis with hot sambar and chutney.","idli_sambar.jpg"
10,Dhokla,"besan, curd, eno, spice","Step 1: Mix besan, curd, salt, and water into batter. Step 2: Rest for 30 minutes. Step 3: Add eno before steaming. Step 4: Pour batter into greased plate. Step 5: Steam for 15 minutes. Step 6: Cool slightly, cut into squares. Step 7: Heat oil, add mustard seeds, curry leaves, and green chili. Step 8: Pour tempering over dhokla. Step 9: Garnish with coriander and coconut. Step 10: Serve with chutney.","dhokla.jpg"
11,Poori Bhaji,"wheat flour, potato, spice","Step 1: Mix wheat flour with salt and oil, knead into stiff dough. Step 2: Rest dough for 20 minutes. Step 3: Divide into small balls and roll into puris. Step 4: Heat oil and deep fry puris until puffed. Step 5: Boil potatoes and mash roughly. Step 6: Heat oil, add mustard seeds, curry leaves, green chilies. Step 7: Add onions and sauté. Step 8: Add boiled potatoes, turmeric, and salt. Step 9: Mix well and cook for 5 minutes. Step 10: Serve hot puris with potato bhaji.","poori_bhaji.jpg"
